"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1570","2.8 Reset App State clears cart","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","533","3.2 Open product detail by clicking image","chromium","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","584","6.1 No horizontal scrollbar on Pixel 7 viewport","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","2222","2.6 Hamburger menu opens and closes","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","519","2.4 Sort products by Price (low to high)","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","521","2.10 Footer social media links","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","508","6.4 Vertical scrolling works in inventory list","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","805","4.8 Cart badge persists across navigation","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","524","3.1 Open product detail by clicking title","chromium","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","394","1.5 Login with invalid credentials","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","1755","5.6 Checkout overview shows totals","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1644","5.2 Missing First Name shows validation error","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","579","3.4 Add product to cart from detail page","chromium","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","588","1.1 Login with valid credentials (happy path)","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","1365","1.6 Login then logout via menu","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","355","1.7 Login form lists accepted usernames and password","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","622","3.5 Remove product from cart via detail page","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","1393","1.6 Login then logout via menu","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","551","4.4 Empty cart state","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","1751","5.1 Checkout step one - valid information","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","644","4.2 Add/Remove toggles cart badge","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","426","1.2 Login with empty username and password","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","642","2.5 Sort products by Price (high to low)","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
